source,section,item_id,item_name_cn,state,rank,metric,value,extra
problem1_results.json,problem1,,,,,alpha,1.0,
problem1_results.json,problem1,,,,,beta,1.5,
problem1_results.json,problem1,,,0,,state_prior,0.4,
problem1_results.json,problem1,,,1,,state_prior,0.3,
problem1_results.json,problem1,,,2,,state_prior,0.2,
problem1_results.json,problem1,,,3,,state_prior,0.1,
problem1_results.json,problem1,,,4,,state_prior,0.0,
problem1_results.json,problem1,front_kick,前蹬腿,,1,D,1.4093184000000003,semi_stable
problem1_results.json,problem1,front_kick,前蹬腿,,1,U,0.26,semi_stable
problem1_results.json,problem1,front_kick,前蹬腿,,1,V,1.0193184000000004,semi_stable
problem1_results.json,problem1,cross,后手直拳,,2,D,1.1300476,stable
problem1_results.json,problem1,cross,后手直拳,,2,U,0.11,stable
problem1_results.json,problem1,cross,后手直拳,,2,V,0.9650475999999999,stable
problem1_results.json,problem1,low_kick,低扫腿,,3,D,1.1807746000000001,stable
problem1_results.json,problem1,low_kick,低扫腿,,3,U,0.16999999999999998,stable
problem1_results.json,problem1,low_kick,低扫腿,,3,V,0.9257746000000001,stable
problem1_results.json,problem1,roundhouse,回旋踢,,4,D,1.4748264999999998,unstable
problem1_results.json,problem1,roundhouse,回旋踢,,4,U,0.37,unstable
problem1_results.json,problem1,roundhouse,回旋踢,,4,V,0.9198264999999999,unstable
problem1_results.json,problem1,uppercut,上勾拳,,5,D,1.2883734000000002,semi_stable
problem1_results.json,problem1,uppercut,上勾拳,,5,U,0.24999999999999997,semi_stable
problem1_results.json,problem1,uppercut,上勾拳,,5,V,0.9133734000000002,semi_stable
problem1_results.json,problem1,axe_kick,下劈腿,,6,D,1.582026,unstable
problem1_results.json,problem1,axe_kick,下劈腿,,6,U,0.46,unstable
problem1_results.json,problem1,axe_kick,下劈腿,,6,V,0.8920259999999999,unstable
problem1_results.json,problem1,side_kick,侧踢,,7,D,1.3470468,semi_stable
problem1_results.json,problem1,side_kick,侧踢,,7,U,0.31000000000000005,semi_stable
problem1_results.json,problem1,side_kick,侧踢,,7,V,0.8820467999999999,semi_stable
problem1_results.json,problem1,hook,摆拳,,8,D,1.197027,semi_stable
problem1_results.json,problem1,hook,摆拳,,8,U,0.22,semi_stable
problem1_results.json,problem1,hook,摆拳,,8,V,0.867027,semi_stable
problem1_results.json,problem1,elbow,肘击,,9,D,1.2569255000000001,semi_stable
problem1_results.json,problem1,elbow,肘击,,9,U,0.28,semi_stable
problem1_results.json,problem1,elbow,肘击,,9,V,0.8369255000000001,semi_stable
problem1_results.json,problem1,knee_strike,顶膝,,10,D,1.3060895000000001,semi_stable
problem1_results.json,problem1,knee_strike,顶膝,,10,U,0.32000000000000006,semi_stable
problem1_results.json,problem1,knee_strike,顶膝,,10,V,0.8260895,semi_stable
problem1_results.json,problem1,flying_knee,腾空膝击,,11,D,1.6066190000000005,unstable
problem1_results.json,problem1,flying_knee,腾空膝击,,11,U,0.53,unstable
problem1_results.json,problem1,flying_knee,腾空膝击,,11,V,0.8116190000000004,unstable
problem1_results.json,problem1,spinning_back_kick,转身后蹬,,12,D,1.5183312000000002,unstable
problem1_results.json,problem1,spinning_back_kick,转身后蹬,,12,U,0.48000000000000004,unstable
